date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,dose
NA,NA,NA,NA,22,zinc,NA,N2,A,1,median.TOF,237,0
NA,NA,NA,NA,22,zinc,water,CB4856,A,10,median.TOF,118,750
NA,NA,NA,NA,22,zinc,water,CB4856,A,11,median.TOF,112,1000
NA,NA,NA,NA,22,zinc,water,N2,A,2,median.TOF,177.5,250
NA,NA,NA,NA,22,zinc,water,N2,A,3,median.TOF,158,500
NA,NA,NA,NA,22,zinc,water,N2,A,4,median.TOF,145.5,750
NA,NA,NA,NA,22,zinc,water,N2,A,5,median.TOF,124,1000
NA,NA,NA,NA,22,zinc,NA,CB4856,A,7,median.TOF,215,0
NA,NA,NA,NA,22,zinc,water,CB4856,A,8,median.TOF,182,250
NA,NA,NA,NA,22,zinc,water,CB4856,A,9,median.TOF,159,500
NA,NA,NA,NA,22,zinc,NA,DL238,B,1,median.TOF,283.5,0
NA,NA,NA,NA,22,zinc,water,JU258,B,10,median.TOF,130,750
NA,NA,NA,NA,22,zinc,water,JU258,B,11,median.TOF,98,1000
NA,NA,NA,NA,22,zinc,water,DL238,B,2,median.TOF,231.5,250
NA,NA,NA,NA,22,zinc,water,DL238,B,3,median.TOF,156,500
NA,NA,NA,NA,22,zinc,water,DL238,B,4,median.TOF,123,750
NA,NA,NA,NA,22,zinc,water,DL238,B,5,median.TOF,118,1000
NA,NA,NA,NA,22,zinc,NA,JU258,B,7,median.TOF,263.5,0
NA,NA,NA,NA,22,zinc,water,JU258,B,9,median.TOF,160,500
NA,NA,NA,NA,22,zinc,NA,DL238,C,1,median.TOF,302,0
NA,NA,NA,NA,22,zinc,water,N2,C,10,median.TOF,147.5,750
NA,NA,NA,NA,22,zinc,water,N2,C,11,median.TOF,143,1000
NA,NA,NA,NA,22,zinc,water,DL238,C,2,median.TOF,265,250
NA,NA,NA,NA,22,zinc,water,DL238,C,3,median.TOF,161.5,500
NA,NA,NA,NA,22,zinc,water,DL238,C,4,median.TOF,123,750
NA,NA,NA,NA,22,zinc,water,DL238,C,5,median.TOF,102,1000
NA,NA,NA,NA,22,zinc,NA,N2,C,7,median.TOF,246,0
NA,NA,NA,NA,22,zinc,water,N2,C,8,median.TOF,227,250
NA,NA,NA,NA,22,zinc,water,N2,C,9,median.TOF,189,500
NA,NA,NA,NA,22,zinc,NA,JU258,D,1,median.TOF,268,0
NA,NA,NA,NA,22,zinc,water,CB4856,D,10,median.TOF,122,750
NA,NA,NA,NA,22,zinc,water,CB4856,D,11,median.TOF,102,1000
NA,NA,NA,NA,22,zinc,water,JU258,D,2,median.TOF,187.5,250
NA,NA,NA,NA,22,zinc,water,JU258,D,3,median.TOF,132,500
NA,NA,NA,NA,22,zinc,water,JU258,D,4,median.TOF,121,750
NA,NA,NA,NA,22,zinc,water,JU258,D,5,median.TOF,90,1000
NA,NA,NA,NA,22,zinc,NA,CB4856,D,7,median.TOF,275,0
NA,NA,NA,NA,22,zinc,water,CB4856,D,8,median.TOF,178,250
NA,NA,NA,NA,22,zinc,water,CB4856,D,9,median.TOF,144.5,500
NA,NA,NA,NA,22,zinc,NA,JU258,E,1,median.TOF,288,0
NA,NA,NA,NA,22,zinc,water,DL238,E,10,median.TOF,131,750
NA,NA,NA,NA,22,zinc,water,DL238,E,11,median.TOF,107,1000
