date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype
20170327,chrV,1,a,2,zinc,water,N2,A,1,median.TOF,20.528571428571077
20170327,chrV,1,a,2,zinc,water,CB4856,A,2,median.TOF,-17.971428571426067
20170327,chrV,1,a,2,zinc,water,ECA437,A,5,median.TOF,20.028571428571396
20170327,chrV,1,a,2,zinc,water,CB4856,B,2,median.TOF,-21.971428571428604
20170327,chrV,1,a,2,zinc,water,ECA437,B,5,median.TOF,5.0285714285713965
20170327,chrV,1,a,2,zinc,water,CB4856,C,2,median.TOF,-18.971428571428604
20170327,chrV,1,a,2,zinc,water,ECA437,C,5,median.TOF,-2.971428571428603
20170327,chrV,1,a,2,zinc,water,N2,E,1,median.TOF,18.028571428571396
20170327,chrV,1,a,2,zinc,water,ECA437,E,5,median.TOF,6.5285714285713965
20170327,chrV,1,a,2,zinc,water,N2,G,1,median.TOF,-1.971428571428603
20170327,chrV,1,a,2,zinc,water,ECA437,G,5,median.TOF,12.028571428571396
20170327,chrV,1,a,5,water,None,N2,A,1,median.TOF,-10.220338983050123
20170327,chrV,1,a,5,water,None,CB4856,A,2,median.TOF,-0.2203389830508209
20170327,chrV,1,a,5,water,None,ECA437,A,5,median.TOF,4.279661016949139
20170327,chrV,1,a,5,water,None,N2,B,1,median.TOF,-17.220338983050862
20170327,chrV,1,a,5,water,None,CB4856,B,2,median.TOF,-19.220338983050862
20170327,chrV,1,a,5,water,None,ECA437,B,5,median.TOF,-2.720338983050861
20170327,chrV,1,a,5,water,None,N2,C,1,median.TOF,-4.220338983050861
20170327,chrV,1,a,5,water,None,CB4856,C,2,median.TOF,6.779661016949139
20170327,chrV,1,a,5,water,None,ECA437,C,5,median.TOF,11.77966101694914
20170327,chrV,1,a,5,water,None,N2,D,1,median.TOF,-3.220338983050861
20170327,chrV,1,a,5,water,None,CB4856,D,2,median.TOF,-1.2203389830508609
20170327,chrV,1,a,5,water,None,ECA437,D,5,median.TOF,8.77966101694914
20170327,chrV,1,a,5,water,None,N2,E,1,median.TOF,-22.220338983050862
20170327,chrV,1,a,5,water,None,CB4856,E,2,median.TOF,-0.2203389830508209
20170327,chrV,1,a,5,water,None,ECA437,E,5,median.TOF,30.279661016949138
20170327,chrV,1,a,5,water,None,N2,F,1,median.TOF,-15.72033898305086
20170327,chrV,1,a,5,water,None,CB4856,F,2,median.TOF,-5.220338983050861
20170327,chrV,1,a,5,water,None,ECA437,F,5,median.TOF,3.779661016949139
20170327,chrV,1,a,5,water,None,N2,G,1,median.TOF,-17.220338983050862
20170327,chrV,1,a,5,water,None,CB4856,G,2,median.TOF,16.779661016949138
20170327,chrV,1,a,5,water,None,ECA437,G,5,median.TOF,-5.220338983050861
20170327,chrV,1,a,10,water,None,N2,A,1,median.TOF,-38.22033898305086
20170327,chrV,1,a,10,water,None,CB4856,A,2,median.TOF,-18.220338983050862
20170327,chrV,1,a,10,water,None,ECA437,A,5,median.TOF,27.779661016949138
20170327,chrV,1,a,10,water,None,N2,B,1,median.TOF,-43.72033898305086
20170327,chrV,1,a,10,water,None,CB4856,B,2,median.TOF,1.7796610169491391
20170327,chrV,1,a,10,water,None,ECA437,B,5,median.TOF,6.779661016949139
20170327,chrV,1,a,10,water,None,N2,C,1,median.TOF,-23.220338983050862
20170327,chrV,1,a,10,water,None,CB4856,C,2,median.TOF,-1.7203389830508609
20170327,chrV,1,a,10,water,None,ECA437,C,5,median.TOF,15.27966101694914
20170327,chrV,1,a,10,water,None,N2,D,1,median.TOF,-27.720338983050862
20170327,chrV,1,a,10,water,None,CB4856,D,2,median.TOF,14.77966101694914
20170327,chrV,1,a,10,water,None,ECA437,D,5,median.TOF,35.77966101694914
20170327,chrV,1,a,10,water,None,N2,E,1,median.TOF,-26.220338983050862
20170327,chrV,1,a,10,water,None,CB4856,E,2,median.TOF,-11.22033898305086
20170327,chrV,1,a,10,water,None,ECA437,E,5,median.TOF,9.77966101694914
20170327,chrV,1,a,10,water,None,N2,F,1,median.TOF,-24.220338983050862
20170327,chrV,1,a,10,water,None,CB4856,F,2,median.TOF,12.27966101694914
20170327,chrV,1,a,10,water,None,ECA437,F,5,median.TOF,42.27966101694914
20170327,chrV,1,a,10,water,None,N2,G,1,median.TOF,-14.22033898305086
20170327,chrV,1,a,10,water,None,CB4856,G,2,median.TOF,0.7796610169491391
20170327,chrV,1,a,10,water,None,ECA437,G,5,median.TOF,7.279661016949139
20170327,chrV,1,a,13,zinc,water,N2,A,1,median.TOF,27.028571428571396
20170327,chrV,1,a,13,zinc,water,ECA437,A,5,median.TOF,5.0285714285713965
20170327,chrV,1,a,13,zinc,water,N2,B,1,median.TOF,26.028571428571396
20170327,chrV,1,a,13,zinc,water,CB4856,B,2,median.TOF,-6.9714285714286035
20170327,chrV,1,a,13,zinc,water,ECA437,B,5,median.TOF,0.02857142857139694
20170327,chrV,1,a,13,zinc,water,N2,C,1,median.TOF,8.028571428571396
20170327,chrV,1,a,13,zinc,water,CB4856,C,2,median.TOF,-1.971428571428603
20170327,chrV,1,a,13,zinc,water,ECA437,C,5,median.TOF,19.028571428571396
20170327,chrV,1,a,13,zinc,water,N2,D,1,median.TOF,14.028571428571396
20170327,chrV,1,a,13,zinc,water,CB4856,D,2,median.TOF,-8.971428571428604
20170327,chrV,1,a,13,zinc,water,ECA437,D,5,median.TOF,6.0285714285713965
20170327,chrV,1,a,13,zinc,water,N2,E,1,median.TOF,18.028571428571396
20170327,chrV,1,a,13,zinc,water,CB4856,E,2,median.TOF,0.02857142857139694
20170327,chrV,1,a,13,zinc,water,ECA437,E,5,median.TOF,6.0285714285713965
20170327,chrV,1,a,13,zinc,water,N2,F,1,median.TOF,12.528571428571396
20170327,chrV,1,a,13,zinc,water,CB4856,F,2,median.TOF,-12.971428571428604
20170327,chrV,1,a,13,zinc,water,ECA437,F,5,median.TOF,14.028571428571396
20170327,chrV,1,a,13,zinc,water,N2,G,1,median.TOF,27.028571428571396
20170327,chrV,1,a,13,zinc,water,CB4856,G,2,median.TOF,-4.9714285714286035
20170327,chrV,1,a,13,zinc,water,ECA437,G,5,median.TOF,11.528571428571396
20170327,chrV,1,a,18,water,None,N2,A,1,median.TOF,4.779661016949139
20170327,chrV,1,a,18,water,None,CB4856,A,2,median.TOF,18.779661016949138
20170327,chrV,1,a,18,water,None,ECA437,A,5,median.TOF,-9.22033898305086
20170327,chrV,1,a,18,water,None,N2,B,1,median.TOF,-2.220338983050861
20170327,chrV,1,a,18,water,None,CB4856,B,2,median.TOF,11.77966101694914
20170327,chrV,1,a,18,water,None,N2,C,1,median.TOF,18.779661016949138
20170327,chrV,1,a,18,water,None,CB4856,C,2,median.TOF,6.779661016949139
20170327,chrV,1,a,18,water,None,ECA437,C,5,median.TOF,-12.22033898305086
20170327,chrV,1,a,18,water,None,N2,D,1,median.TOF,-13.22033898305086
20170327,chrV,1,a,18,water,None,CB4856,D,2,median.TOF,25.279661016949138
20170327,chrV,1,a,18,water,None,N2,E,1,median.TOF,0.7796610169491391
20170327,chrV,1,a,18,water,None,CB4856,E,2,median.TOF,16.779661016949138
20170327,chrV,1,a,18,water,None,N2,F,1,median.TOF,-21.220338983050862
20170327,chrV,1,a,18,water,None,CB4856,F,2,median.TOF,8.27966101694914
20170327,chrV,1,a,18,water,None,N2,G,1,median.TOF,-2.220338983050861
20170327,chrV,1,a,18,water,None,CB4856,G,2,median.TOF,24.279661016949138
20170327,chrV,1,a,18,water,None,ECA437,G,5,median.TOF,19.779661016949138
20170327,chrV,1,a,21,zinc,water,N2,A,1,median.TOF,30.028571428571396
20170327,chrV,1,a,21,zinc,water,N2,C,1,median.TOF,27.028571428571396
20170327,chrV,1,a,21,zinc,water,N2,G,1,median.TOF,22.028571428571396
20170327,chrV,1,a,26,zinc,water,N2,A,1,median.TOF,7.0285714285713965
20170327,chrV,1,a,26,zinc,water,CB4856,A,2,median.TOF,-19.971428571428604
20170327,chrV,1,a,26,zinc,water,ECA437,A,5,median.TOF,-14.471428571428604
20170327,chrV,1,a,26,zinc,water,N2,B,1,median.TOF,-3.971428571428603
20170327,chrV,1,a,26,zinc,water,CB4856,B,2,median.TOF,-18.971428571428604
20170327,chrV,1,a,26,zinc,water,ECA437,B,5,median.TOF,-5.4714285714286035
20170327,chrV,1,a,26,zinc,water,N2,C,1,median.TOF,5.0285714285713965
20170327,chrV,1,a,26,zinc,water,CB4856,C,2,median.TOF,-22.971428571428604
20170327,chrV,1,a,26,zinc,water,N2,D,1,median.TOF,14.028571428571396
20170327,chrV,1,a,26,zinc,water,CB4856,D,2,median.TOF,-16.471428571428604
20170327,chrV,1,a,26,zinc,water,CB4856,E,2,median.TOF,-24.971428571428604
20170327,chrV,1,a,30,zinc,water,N2,A,1,median.TOF,7.0285714285713965
20170327,chrV,1,a,30,zinc,water,CB4856,A,2,median.TOF,-22.971428571428604
20170327,chrV,1,a,30,zinc,water,ECA437,A,5,median.TOF,-11.471428571428604
20170327,chrV,1,a,30,zinc,water,N2,B,1,median.TOF,0.02857142857139694
20170327,chrV,1,a,30,zinc,water,CB4856,B,2,median.TOF,-21.971428571428604
20170327,chrV,1,a,30,zinc,water,N2,C,1,median.TOF,-7.9714285714286035
20170327,chrV,1,a,30,zinc,water,CB4856,C,2,median.TOF,-20.971428571428604
20170327,chrV,1,a,30,zinc,water,ECA437,C,5,median.TOF,-8.971428571428604
20170327,chrV,1,a,30,zinc,water,N2,D,1,median.TOF,2.528571428571397
20170327,chrV,1,a,30,zinc,water,CB4856,D,2,median.TOF,-17.471428571428604
20170327,chrV,1,a,30,zinc,water,ECA437,D,5,median.TOF,-5.9714285714286035
20170327,chrV,1,a,30,zinc,water,N2,E,1,median.TOF,-2.971428571428603
20170327,chrV,1,a,30,zinc,water,CB4856,E,2,median.TOF,-27.471428571428604
20170327,chrV,1,a,30,zinc,water,ECA437,E,5,median.TOF,-13.971428571428604
20170327,chrV,1,a,30,zinc,water,N2,F,1,median.TOF,22.028571428571396
